Course,Title,Program,Quantitative Reasoning,Scientific Inquiry,Artistic Process,Social Inequality,Cultural Differences,Ethical Judgment
ECON 311,The Economics of Immigration,Economics,Partially,Partially,,Partially,,Partially
ECON 313,African American Econ History,Economics,,Substantially,,Substantially,,Substantially
ECON 315,Managerial Economics,Economics,Substantially,,,,,
ECON 316,Labor Market Issues,Economics,,Substantially,,Substantially,Partially,
ECON 319,"Structure, Agency and Behavior",Economics,,,,,,Substantially
ECON 323,Adv Micro,Economics,Substantially,Partially,,Partially,,
ECON 324,Money & Financial Markets,Economics,Partially,Partially,,Partially,,Partially
ECON 325,Econ of Inequality&Distributio,Economics,,Substantially,,Substantially,,Partially
ECON 329,Economics and Social Theory,Economics,,Substantially,,Substantially,,
ECON 330,Law and Economics of Higher Ed,Economics,Substantially,,,,,Substantially
ECON 331,Institutional Economics,Economics,,,,,,Substantially
ECON 333,Pol Econ Money & Globalize,Economics,Partially,,,,,
ECON 344,Economic Development,Economics,Partially,Substantially,,Substantially,,Partially
ECON 348,Nat Res & Energy Econ,Economics,Partially,,,,,
ECON 415,Game Theory,Economics,Substantially,,,,,
ECON 465,Political Econ. of Corruption,Economics,,Partially,,Partially,,Partially
ECON 476,Pol Econ of Mid E & N Africa,Economics,,Partially,,Partially,Partially,Partially
ECON 480,Sem:Current Iss. in Macroecon.,Economics,,Substantially,,Substantially,,Substantially
ECON 481,Sem:Curr Iss-Microecon,Economics,Substantially,,,,,
EDUC 107,Unliving Racism,Educational Studies,,Substantially,,Substantially,Partially,Partially
EDUC 115,Introduction to Linguistics,Educational Studies,Partially,,,,,
EDUC 170,Race Dialogues for Comm&Chg,Educational Studies,,Partially,,Partially,Substantially,Partially
EDUC 200,Phil of Education,Educational Studies,,,,,,Partially
EDUC 201,Schooling and Social Equality,Educational Studies,,Substantially,,Substantially,Partially,Partially
EDUC 203,Children With Disabilities,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 205,Youth Migrations,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 209,Gender & Schooling,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 220,Storytelling,Educational Studies,,,Substantially,,Partially,
EDUC 221,Understanding Autism,Educational Studies,,Substantially,,Substantially,,
EDUC 222,"Learn,Teach,Schools & Math",Educational Studies,Partially,Partially,,Partially,,
EDUC 225,Educational Leadership,Educational Studies,,Partially,,Partially,,Substantially
EDUC 230,Teaching Eng. Lang. Learners,Educational Studies,,Partially,,Partially,Partially,
EDUC 304,Representations and Meanings,Educational Studies,,Partially,,Partially,Partially,
EDUC 306,Technology And Disability,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 307,Civil Rights Education,Educational Studies,,Substantially,,Substantially,Partially,Partially
EDUC 308,Politics of Care,Educational Studies,,Partially,,Partially,,Substantially
EDUC 310,Second Language Acquisition,Educational Studies,,,,,Partially,
EDUC 320,Children's Literature,Educational Studies,,,,,Partially,
EDUC 321,Creating Children's Literature,Educational Studies,,,Substantially,,,
EDUC 323,Comparative & Internat'l Educ,Educational Studies,,Substantially,,Substantially,Partially,Partially
EDUC 330,Disability and Transition,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 331,Rethinking Families,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 332,"Disability,Family & Society",Educational Studies,,Substantially,,Substantially,,
EDUC 333,Literacy,Educational Studies,,Partially,,Partially,,
EDUC 335,Arts and Education,Educational Studies,,,Substantially,,,
EDUC 338,Inclusive Schooling,Educational Studies,,Substantially,,Substantially,,Substantially
EDUC 339,Special Topics:,Educational Studies,,,,,,
EDUC 346,Technology in Education,Educational Studies,,Substantially,,Substantially,,Partially
EDUC 348,Our National Parks,Educational Studies,,Partially,,Partially,,Substantially
EDUC 349,Science Inquiry in Schools,Educational Studies,,Partially,,Partially,,Partially
EDUC 351,Teaching with Citizen Science,Educational Studies,Substantially,,,,,
EDUC 370,Multiculturalism,Educational Studies,,Partially,,Partially,Substantially,Partially
EDUC 380,International TEFL Practicum,Educational Studies,,,,,Substantially,
ENG 106,The Short Story,English,,Partially,,Partially,Partially,
ENG 111,Exper of War in Lit,English,,Partially,,Partially,Partially,Substantially
ENG 113,Environment in Global Lit,English,,,,,Substantially,
ENG 114,"Sickness, Health & Disability",English,,Substantially,,Substantially,,Partially
ENG 115,Literature & Social Movements,English,,Substantially,,Substantially,,Partially
ENG 116,Literature and Politics,English,,Substantially,,Substantially,Partially,
ENG 130,Medieval Genres,English,,Partially,,Partially,Partially,Partially
ENG 152,American Revolutions,English,,Substantially,,Substantially,Partially,
ENG 155,Banned Books,English,,Substantially,,Substantially,,Partially
ENG 165,Intro Afro-Amer Lit I,English,,Substantially,,Substantially,,Substantially
ENG 170,Global English Literature,English,,,,,Substantially,Substantially
ENG 175,Travel Literature,English,,,,,Substantially,Substantially
ENG 190,Creative Writing for FYs & SOs,English,,,Substantially,,,
ENG 201,The MCU (in Theory),English,,,,,Partially,
ENG 203,The Lyric,English,,,Partially,,,
ENG 205,Narrative Theory,English,,Partially,,Partially,,
ENG 210,Viking Saga,English,,Partially,,Partially,Partially,Partially
ENG 211,Writing the Environment,English,,,Substantially,,,Partially
ENG 212,Literature of Sexual Minoritie,English,,Substantially,,Substantially,Partially,Partially
ENG 213,Environmental Literature,English,,Partially,,Partially,Partially,Partially
ENG 214,Victorian Poets,English,,Partially,,Partially,,
ENG 216,Making a Scene,English,,Partially,Substantially,Partially,,Partially
ENG 220,The Walking Essay,English,,Partially,Partially,Partially,Substantially,
ENG 229,18th Century Novel,English,,Partially,,Partially,Partially,
ENG 231,Comp Medieval Lit,English,,Partially,,Partially,Partially,Partially
ENG 232,Medieval Romance,English,,Partially,,Partially,Partially,Partially
ENG 233,Medieval Drama,English,,Partially,,Partially,Partially,Partially
ENG 234,Chaucer: Topics,English,,Partially,,Partially,Partially,Partially
ENG 235,The Once and Future King,English,,Partially,,Partially,Partially,Partially
ENG 239,18th C. Lit & Art,English,,Partially,,Partially,Partially,
ENG 246,The Literature of Decadence,English,,,,,Partially,Partially
ENG 247,Irish Lit Renaissance,English,,Partially,,Partially,Partially,
ENG 248,Modern British Novel,English,,Partially,,Partially,Partially,
ENG 249,Contemporary British Fictions,English,,Partially,,Partially,Partially,
ENG 250,Early American Literature,English,,Partially,,Partially,Partially,
ENG 251,Recovering AfricanAmerican Lit,English,,Substantially,,Substantially,,
ENG 252,American Women Writers,English,,Substantially,,Substantially,,Partially
ENG 253,19C African-Amer Women's Wrtgs,English,,Substantially,,Substantially,,Partially
ENG 254,19thC American Poetry,English,,Partially,,Partially,,
ENG 260,Modern American Literature,English,,Partially,,Partially,,Partially
ENG 261,Popular Fiction,English,,Partially,,Partially,,Partially
ENG 264,Southern Fictions,English,,Substantially,,Substantially,,Partially
ENG 267,Post WWII American Poetry,English,,Partially,,Partially,,
ENG 270,Globalization & Literature,English,,,,,Substantially,Substantially
ENG 272,India and the Global,English,,,,,Substantially,Substantially
ENG 273,Crime Fiction,English,,Partially,Partially,Partially,,
ENG 276,Imagining the Middle East,English,,Partially,,Partially,Substantially,
ENG 286,The Art of the Screen Play,English,,,Substantially,,Partially,
ENG 290,Creative Writing,English,,,Substantially,,,
ENG 292,Shaping the Story,English,,,Substantially,,,
ENG 294,Intermediate Fiction,English,,,Substantially,,,
ENG 300,Literary Theory Since Plato,English,,Partially,,Partially,Partially,Partially
ENG 301,Cultural Theory,English,,Partially,,Partially,,Substantially
ENG 302,History of the English Languag,English,,Partially,,Partially,Partially,
ENG 304,Feminist Lit Theory,English,,Substantially,,Substantially,,
ENG 305,Psychoanalysis & Lit,English,,Partially,,Partially,Partially,
ENG 307,Cowboy to Gamer,English,,,Substantially,,,
ENG 308,Shakespeare & Theory,English,,Partially,,Partially,,
ENG 310,"Power, Desire, Literature",English,,,,,Substantially,Substantially
ENG 311,Story and History,English,,,,,,Substantially
ENG 314,The Art of Memoir,English,,Partially,,Partially,,Partially
ENG 316,Hearts of Darkness,English,,,,,Substantially,Substantially
ENG 330,Male Heroism in the Middle Age,English,,Partially,,Partially,Substantially,Partially
ENG 335,Fashioning Identity,English,,Substantially,,Substantially,Partially,Partially
ENG 338,Milton: Paradise Lost,English,,,Partially,,,Partially
ENG 342,Modernist Experiments,English,,,Partially,,,
ENG 344,Joyce,English,,,,,Partially,
ENG 345,Ulysses,English,,,,,Partially,
ENG 351,Archives of American Lit,English,,Partially,,Partially,Partially,
ENG 353,Media in Early America,English,,Partially,,Partially,Partially,
ENG 360,Sexuality and American Lit,English,,Substantially,,Substantially,,Partially
ENG 361,Rdgs in Multi-Ethnic Women's L,English,,Substantially,,Substantially,,Substantially
ENG 362,"Body, Memory, Representation",English,,,,,Substantially,Substantially
ENG 363,American Epic,English,,,,,Partially,
ENG 370,Geographies of Nowhere,English,,,,,Substantially,
ENG 376,Who Am I? Identity in WorldLit,English,,,,,Substantially,
ENG 388,Environmental Nonficti Writing,English,,,Substantially,,,Partially
ENG 390,Trias Topics Workshop,English,,,Substantially,,,
ENG 391,Adv. Poetry Workshop,English,,,Substantially,,,
ENG 393,Fiction Wksp II:Theory of Fict,English,,,Substantially,,,
ENG 394,Workshop:The Craft of Fiction,English,,,Substantially,,,
ENG 396,The Lyric Essay,English,,,Substantially,,,
ENG 397,Creative Nonfiction Wkshop,English,,,Substantially,,,
ENG 398,Screenwriting I,English,,,Substantially,,,
ENG 399,Hybrid Forms Workshop,English,,,Substantially,,,
ENG 410,Radical Futures,English,,,,,,Partially
ENG 432,Malory: Morte D'Arthur,English,,Partially,,Partially,Partially,Substantially
ENG 436,Shakespeare Seminar,English,,Partially,,Partially,,
ENG 438,Milton: Paradise Lost,English,,,Partially,,,Partially
ENG 441,Writing Women,English,,Substantially,,Substantially,,
ENG 445,Ulysses,English,,,,,Partially,
ENG 458,The American 1850's,English,,Partially,,Partially,Partially,
ENG 465,JR/SR Sem:Reading Faulkner,English,,Partially,,Partially,,Partially
ENG 470,Representing 9/11 Wars,English,,,,,Substantially,
ENG 489,Capstone: Medieval Outlaws,English,,Partially,,Partially,Partially,Partially
ENG 490,Trias Tutorial,English,,,Substantially,,,
ENG 493,Jr/Sr Sem:  Theory of Fiction,English,,,Substantially,,,Partially
ENV 101,Sustainable Communities,Environmental Studies,,Partially,,Partially,,Partially
ENV 200,Environmental Science,Environmental Studies,Partially,,,,,
ENV 201,Community & Urban Resilience,Environmental Studies,,Partially,,Partially,,Partially
ENV 202,Environmental Humanities,Environmental Studies,,,,,,Substantially
ENV 203,Fndmntals of Geograph Info Sys,Environmental Studies,Partially,,,,,
ENV 204,Geography of Garbage,Environmental Studies,Partially,Partially,,Partially,,Partially
ENV 205,Intro to Environmental Law,Environmental Studies,,,,,,Partially
ENV 207,Environmental Statistics,Environmental Studies,Substantially,,,,,
ENV 208,Sustainable Agriculture,Environmental Studies,Partially,,,,,
ENV 209,Finger Lakes Natural History,Environmental Studies,,,,,,
ENV 210,Qualitative Resrch & the Comm,Environmental Studies,,Partially,,Partially,,Partially
ENV 212,Making Green,Environmental Studies,,Partially,,Partially,Partially,Partially
ENV 213,Poverty and Place,Environmental Studies,Partially,Substantially,,Substantially,,
ENV 215,Environ. & Develop. in E Asia,Environmental Studies,,,,,Partially,
ENV 216,Birds in Our Landscape,Environmental Studies,,,,,,
ENV 220,Introduction to Ethnobiology,Environmental Studies,,,,,Partially,
ENV 225,Mongolia's Energy Transition,Environmental Studies,Partially,,,,Partially,
ENV 230,Law and Justice on the Farm,Environmental Studies,Partially,Partially,,Partially,,Partially
ENV 232,Navigating Conflict:,Environmental Studies,,Partially,,Partially,Partially,Substantially
ENV 235,Introduction to Urban Ecology,Global Education,,,Partially,,,Partially
ENV 237,Environ Justice Indian Country,Environmental Studies,,Substantially,,Substantially,Partially,
ENV 240,Environmental Justice in Film,Environmental Studies,,Partially,,Partially,,Partially
ENV 245,Radical Environmentalism,Environmental Studies,,Partially,,Partially,,Partially
ENV 281,Remote Sensing,Environmental Studies,Partially,,,,,
ENV 309,Environ Chg in the Indig World,Environmental Studies,,Partially,,Partially,Partially,
ENV 312,Energy Governance,Environmental Studies,,,,,,Partially
ENV 315,Our Lives with Animals,Environmental Studies,,,,,,Substantially
ENV 320,Natural Resource Law,Environmental Studies,,,,,,Partially
ENV 325,Environmental Leadership,Environmental Studies,,Partially,,Partially,,Substantially
ENV 330,Sustainable Consumption,Environmental Studies,,Partially,,Partially,,Substantially
ENV 340,Water & Energy in China,Environmental Studies,,Partially,,Partially,Substantially,
ENV 345,Decolonial Environmentalisms,Environmental Studies,,Substantially,,Substantially,Substantially,
ENV 360,Environmental Afrofuturism,Environmental Studies,,Substantially,,Substantially,Substantially,
ENV 402,Sustainable Comm. Dev Capstone,Environmental Studies,,,,,,Partially
EUST 101,FndnsofEur Studies I: Ant-Ren,European Studies,,Partially,,Partially,Substantially,
EUST 102,European Studies II,European Studies,,Partially,,Partially,Substantially,
FRN 101,Beginning French I,French & Francophone Studies,,,,,Partially,
FRN 102,Beginning French II,French & Francophone Studies,,,,,Partially,
FRN 201,Intermediate French I,French & Francophone Studies,,,,,Partially,
FRN 202,Intermediate French II,French & Francophone Studies,,,,,Partially,
FRN 225,Parlons Francais,French & Francophone Studies,,,,,Partially,
FRN 226,French in Review I:Parler et C,French & Francophone Studies,,,,,Partially,
FRN 227,Fre in Rev II: Lire + Ecrire,French & Francophone Studies,,,,,Partially,
FRN 230,Senegal an Orientation,French & Francophone Studies,,,,,Partially,
FRN 241,Prises De Vue,French & Francophone Studies,,Partially,,Partially,Substantially,
FRN 242,Intro to Quebec Studies,French & Francophone Studies,,Partially,,Partially,Substantially,
FRN 243,Topics in Francophone Cultures,French & Francophone Studies,,Partially,,Partially,Substantially,
FRN 244,Le Midi de la France,French & Francophone Studies,,Partially,,Partially,Substantially,Partially
FRN 251,"Lit I:Mystics,Friends & Lovers",French & Francophone Studies,,,,,Substantially,
FRN 252,"Lit II: ""Que Sais-Je?""",French & Francophone Studies,,Partially,,Partially,Substantially,Partially
FRN 253,Lit III: Paris-Outre-mer,French & Francophone Studies,,Partially,,Partially,Substantially,
FRN 254,French and Francophone Film,French & Francophone Studies,,Partially,Partially,Partially,Substantially,
FRN 306,Medieval Hero,French & Francophone Studies,,Partially,,Partially,Partially,Partially
FRN 310,Exiled Song,French & Francophone Studies,,,Partially,,Substantially,
FRN 352,N Afri Lit: Narr of Dissent,French & Francophone Studies,,Partially,,Partially,Substantially,
FRN 355,Francophone Caribbean Identiti,French & Francophone Studies,,Substantially,,Substantially,Substantially,
FRN 383,Middle Ages and Renaissance,French & Francophone Studies,,Substantially,,Substantially,Substantially,
FRN 384,Topics in 17 & 18th Century,French & Francophone Studies,,Partially,,Partially,,Substantially
FRN 385,Topics in 19th to 21st Cent,French & Francophone Studies,,Partially,,Partially,Substantially,Partially
FRNE 111,Transnatl France: Diversity,French & Francophone Studies,,Partially,,Partially,Substantially,Partially
FRNE 155,Exile and Identity,French & Francophone Studies,,Substantially,,Substantially,Substantially,
FRNE 211,African Literature: Identity,French & Francophone Studies,,Substantially,,Substantially,Substantially,
FRNE 219,N.African Cinema & Literature,French & Francophone Studies,,Substantially,,Substantially,Substantially,
FRNE 255,Modern French Theater,French & Francophone Studies,,,Substantially,,Substantially,
FRNE 285,The Troubadours,French & Francophone Studies,,Partially,Partially,Partially,Substantially,
FRNE 341,Boulevard Saint-Germain,French & Francophone Studies,,Partially,,Partially,Substantially,Partially
FRNE 395,Race in 18th C French Culture,French & Francophone Studies,,,,,Substantially,Substantially
FSCT 205,Exp Writing with ChatGPT,Fisher Center,,Partially,,Partially,,Substantially
GAL 115,Env Policy & Sustain Ireland,Global Education,,,,,Partially,Partially
GAL 140,Ireland & the World Economy,Global Education,,Partially,,Partially,Partially,
GAL 203,Writing the Emerald Isle,Global Education,,,Substantially,,Partially,Partially
GAL 205,Galway - Community Challenges,Global Education,,Partially,,Partially,,
GAL 214,Alcohol and the Irish,Global Education,,,,,Substantially,
GAL 221,Ethics Anger Revenge Forgive,Global Education,,,,,Substantially,Partially
GAL 225,Exploring Trad Irish Music,Conversion,,,,,Substantially,
GAL 227,Reading the Irish Environment,Global Education,,Partially,,Partially,,Partially
GAL 230,"Craft, Community, Creativity",Global Education,,,Partially,,Partially,Partially
GAL 240,The Walking Essay,Conversion,,Partially,Partially,Partially,Substantially,
GAL 340,Ireland & the World Economy,Conversion,,Partially,,Partially,Partially,
GEO 107,Statistics for Citizens,Geoscience,Substantially,,,,,
GEO 140,Intro to Environmental Geology,Geoscience,,,,,,
GEO 141,Science of Climate Change,Geoscience,,,,,,
GEO 142,Earth Systems Science,Geoscience,,,,,,
GEO 143,Earth & Life Through Time,Geoscience,,,,,,
GEO 144,Astrobiology,Geoscience,Partially,,,,,
GEO 150,Topics:,Geoscience,,,,,,
GEO 182,Introduction to Meteorology,Geoscience,Partially,,,,,
GEO 184,Introduction to Geology,Geoscience,Partially,,,,,
GEO 186,Intro to Hydrogeology,Geoscience,Partially,,,,,
GEO 207,Environmental Statistics,Geoscience,Substantially,,,,,
GEO 210,Environmental Hydrology,Geoscience,Substantially,,,,,
GEO 215,Hydrometeorology,Geoscience,Partially,,,,,
GEO 220,Geomorphology,Geoscience,Substantially,,,,,
GEO 240,Mineralogy,Geoscience,Partially,,,,,
GEO 242,The Earth System,Geoscience,Substantially,,,,,
GEO 250,Oceanography,Geoscience,,,,,,
GEO 255,Global Climates and Oceans,Geoscience,,,,,,
GEO 260,Weather Analysis,Geoscience,Partially,,,,,
GEO 265,Weather Measurem't&Computing,Geoscience,Substantially,,,,,
GEO 275,Planetary Geology,Geoscience,Partially,,,,,
GEO 276,Tectonics,Geoscience,,,,,,
GEO 280,Environmental Geochemistry,Geoscience,Substantially,,,,,
GEO 284,Mineralogy and Petrology,Geoscience,,,,,,
GEO 299,Geoscience Field Studies,Geoscience,,,,,,
GEO 320,Sediments & Sed Rocks,Geoscience,Substantially,,,,,
GEO 325,Paleoclimatology,Geoscience,Substantially,,,,,
GEO 330,Limnology,Geoscience,Substantially,,,,,
GEO 335,Stable Isotope Geochemistry,Geoscience,Substantially,,,,,
GEO 336,Macroevolution,Geoscience,,,,,,
GEO 340,Petrology,Geoscience,Substantially,,,,,
GEO 350,Synoptic-Dynamic Meteorology,Geoscience,Substantially,,,,,
GEO 351,Synoptic-Dynamic Meteor. II,Geoscience,Substantially,,,,,
GEO 355,Mesoscale & Severe Weather,Geoscience,Partially,,,,,
GEO 360,Applied Climatology,Geoscience,Substantially,,,,,
GEO 362,Polar Meteorology,Geoscience,Substantially,,,,,
GEO 365,Environmental Meteorology,Geoscience,Substantially,,,,,
GEO 370,Structural Geology,Geoscience,Substantially,,,,,
GEO 375,Earth History,Geoscience,,,,,,
GEO 380,Paleontology,Geoscience,Partially,,,,,
GEO 390,Gondwana,Geoscience,,,,,,
GER 101,Begining German I,German Area Studies,,,,,Partially,
GER 102,Beginning German II,German Area Studies,,,,,Partially,
GER 201,Intermediate German I,German Area Studies,,,,,Substantially,
GER 202,Intermediate German II,German Area Studies,,,,,Substantially,
GER 301,Intro: German Area Studies I,German Area Studies,,,,,Substantially,
GER 302,Intro:German AreaStudies II,German Area Studies,,,,,Substantially,
GER 370,Special Topics:,German Area Studies,,,,,Substantially,
GER 371,Special Topics:,German Area Studies,,,,,Substantially,
GERE 201,"Berlin:Sin City, Divided City",German Area Studies,,,,,Substantially,
GERE 205,Imagining Self: Bildungsroman,German Area Studies,,,,,Substantially,
GERE 206,Madness in Modernity,German Area Studies,,,,,Substantially,
GERE 208,Guilt in German Literature,German Area Studies,,,,,Substantially,
GERE 209,Decoding Fairy Tales,German Area Studies,,,,,Substantially,
GERE 211,Surving (Post)-Communism,German Area Studies,,,,,Substantially,
GERE 212,The Cave of Western Thought,German Area Studies,,Partially,,Partially,Substantially,Partially
GERE 213,"Border, Nation,Identity",German Area Studies,,Partially,,Partially,Substantially,Partially
GERE 214,Berlin: a Cultural Biography,German Area Studies,,Partially,,Partially,Substantially,Partially
GLS 101,Intro Global Studies,Hobart and William Smith,,Substantially,,Substantially,Substantially,
GLS 201,Global Cultural Literacies,Hobart and William Smith,,,,,Substantially,
GRE 101,Elementary Ancient Greek,Classics,,,,,Substantially,
GRE 102,Beg. Greek II,Classics,,,,,Substantially,
GRE 205,The Greek New Testament,Classics,,,,,Substantially,
GRE 213,Plato,Classics,,,,,Substantially,Partially
GRE 223,Homer,Classics,,Partially,,Partially,Substantially,
GRE 250,Ancient Greek Historians,Classics,,,,,Substantially,
GRE 263,Sophocles,Classics,,Partially,,Partially,Substantially,Partially
GRE 264,Euripides,Classics,,Partially,,Partially,Substantially,Partially
GRE 265,Aristophanes,Classics,,,,,Substantially,
GRE 301,Adv Readings I,Classics,,,,,Substantially,
GRE 302,Adv Readings II,Classics,,,,,Substantially,
GRE 303,Adv Readings III,Classics,,,,,Substantially,
GREE 200,Practical Mathematics,Global Education,Substantially,,,,Substantially,
GSIJ 100,Intro to GSIJ,Hobart and William Smith,,Substantially,,Substantially,,Substantially
GSIJ 303,Disability and Sexuality,Hobart and William Smith,,Substantially,,Substantially,,Substantially
GSIJ 401,Capstone in GSIJ,Hobart and William Smith,,Substantially,,Substantially,,Substantially
HIND 101,Beginning Hindi I,Self-Instructional Language Pg,,,,,Partially,
HIND 102,Beginning Hindi II,Self-Instructional Language Pg,,,,,Substantially,
HIND 201,Intermediate Hindi I,Self-Instructional Language Pg,,,,,Substantially,
HIND 202,Intermediate Hindi II,Self-Instructional Language Pg,,,,,Substantially,
HIST 101,Foundations of European Societ,History,,Partially,,Partially,Partially,
HIST 102,Modern World,History,,Partially,,Partially,Partially,
HIST 103,Early Modern Europe,History,,Substantially,,Substantially,Partially,
HIST 105,Intro. to Amer. Exper.,History,,Partially,,Partially,Partially,
HIST 107,Trekking through Asia,History,,Partially,,Partially,Partially,Partially
HIST 108,The Making of Modern Europe,History,,Substantially,,Substantially,Partially,Partially
HIST 111,Topics in Intro Amer. History,History,,Substantially,,Substantially,,
HIST 112,Soccer: Around the World,History,,Partially,,Partially,Substantially,Partially
HIST 115,Demythologizing Race,History,,Substantially,,Substantially,Substantially,
HIST 120,Making of the Samurai,History,,Partially,,Partially,Partially,Partially
HIST 151,Food Systems in History,History,,Partially,,Partially,Partially,Partially
HIST 176,Western Civilizations,History,,,,,,Substantially
HIST 190,History in East Asia,History,,Partially,,Partially,Partially,Partially
HIST 201,Tudor-Stuart Britain,History,,Substantially,,Substantially,Partially,
HIST 202,Japan Since 1868,History,,Partially,,Partially,Partially,Partially
HIST 203,Gender in Africa,History,,Partially,,Partially,Partially,
HIST 204,The Making of Modern S Asia,History,,Partially,,Partially,Partially,
HIST 205,Modern Mexican History,History,,Partially,,Partially,Partially,
HIST 206,Colonial America,History,,Substantially,,Substantially,Partially,
HIST 207,Age of Revolutions,History,,Substantially,,Substantially,,Partially
HIST 208,Women in American History,History,,Substantially,,Substantially,,
HIST 209,History of Medieval Women,History,,Substantially,,Substantially,Partially,
HIST 210,The Latin American Terror St,Global Education,,Substantially,,Substantially,Partially,Partially
HIST 211,Medieval and Renaissance Italy,History,,Partially,,Partially,Partially,
HIST 215,American Urban History,History,,Substantially,,Substantially,Substantially,
HIST 220,Early Medieval Europe,History,,Partially,,Partially,Partially,
HIST 226,Latin America:Colonial Period,History,,Partially,,Partially,Partially,
HIST 227,African-American History I,History,,Partially,,Partially,Partially,
HIST 228,African-American History II,History,,Partially,,Partially,Partially,
HIST 229,Public History:,History,,Partially,Partially,Partially,,
HIST 230,The African Diaspora in Rio,History,,Substantially,,Substantially,Substantially,
HIST 231,Modern Latin America,History,,Partially,,Partially,Partially,
HIST 233,History Amer Thought to 1865,History,,,,,,Substantially
HIST 234,Hist of Amer Thought From 1865,History,,Partially,,Partially,,Partially
HIST 235,Civil War America,History,,Substantially,,Substantially,,
HIST 237,Europe Since the War,History,,Partially,,Partially,Partially,
HIST 238,World Wars in Global Perspecti,History,,Partially,,Partially,Partially,
HIST 240,Immigration&Ethnicity in Amer,History,,Substantially,,Substantially,Substantially,
HIST 242,Riding with Genghis Khan,History,,Partially,,Partially,Partially,Partially
HIST 244,U.S. Constitutional History,History,,Substantially,,Substantially,,Substantially
HIST 246,Amer Environmental Hist,History,,Substantially,,Substantially,Substantially,
HIST 250,Medieval Popular Culture,History,,Partially,,Partially,Partially,
HIST 253,Renaissance & Reformation,History,,Partially,,Partially,Partially,
HIST 256,Tech & Society Modern Europe,History,,Partially,,Partially,Partially,
HIST 261,20th Century Russia,History,,Partially,,Partially,Partially,
HIST 263,The Russian Land,History,,Partially,,Partially,Partially,Partially
HIST 264,Modern European City,History,,Partially,,Partially,Partially,
HIST 272,Nazi Germany,History,,Partially,,Partially,Partially,
HIST 276,The Age of Dictators,History,,Partially,,Partially,Partially,
HIST 283,South Africa in Transition,History,,Partially,,Partially,Partially,
HIST 284,Africa:From Colonial.to Neocol,History,,Partially,,Partially,Partially,
HIST 286,Plants and Empire,History,,Partially,,Partially,Partially,
HIST 292,Japan Before 1868,History,,Partially,,Partially,Partially,
HIST 297,Pre-Mod. Mediterranean Law,History,,Partially,,Partially,Substantially,
HIST 298,Exploring Modern China,History,,Partially,,Partially,Partially,
HIST 299,Two Cities in War and Postwar,History,,,,,Substantially,
HIST 300,Sem:Race&Violence in Am.Hist.,History,,Partially,,Partially,Partially,
HIST 301,The Enlightenment,History,,Partially,,Partially,Partially,Partially
HIST 304,Early Amer Republic:1789-1840,History,,Substantially,,Substantially,,
HIST 305,Showa Through the SilverScreen,History,,Partially,,Partially,Partially,Partially
HIST 306,Sem: US Civil War,History,,Substantially,,Substantially,,
HIST 308,The Historian's Craft,History,,Partially,,Partially,Partially,Partially
HIST 310,Rise of Industrial America,History,,Substantially,,Substantially,Substantially,
HIST 311,20th Century America,History,,Partially,,Partially,Partially,
HIST 312,U.S. Since 1939,History,,Partially,,Partially,Partially,
HIST 313,Darwinian Revolution,History,,Partially,,Partially,Partially,
HIST 315,Contemporary America,History,,Partially,,Partially,Partially,
HIST 317,Women's Rights Movem'ts in US,History,,Substantially,,Substantially,,
HIST 318,Making of the Indiv'ist Self,History,,,,,Partially,Partially
HIST 320,The Asia Pacific Wars,History,,Partially,,Partially,Partially,Partially
HIST 324,Barbarian Empires,History,,Partially,,Partially,Partially,Partially
HIST 325,Sem:Medicine in Mod Europe,History,,Partially,,Partially,Partially,
HIST 327,Central America and the US,History,,Partially,,Partially,Partially,
HIST 331,Law in Africa,History,,Partially,,Partially,Partially,
HIST 332,Slavery in Africa,History,,Partially,,Partially,Partially,
HIST 334,Sources:Pre-Mod Mediterranean,History,,Partially,,Partially,Substantially,
HIST 345,Race-ing America,History,,Substantially,,Substantially,Partially,Partially
HIST 348,Blk Women Struggle for Rights,History,,Substantially,,Substantially,Partially,Partially
HIST 352,"Wealth, Power & Prestige",History,,Substantially,,Substantially,Substantially,
HIST 353,The Invention of Africa,History,,Substantially,,Substantially,Partially,Partially
HIST 354,Lives of Consequence,History,,Partially,,Partially,,Substantially
HIST 355,American Suffrage,History,,Substantially,,Substantially,,
HIST 362,Mexican Drug Trade,History,,Substantially,,Substantially,Partially,Partially
HIST 364,The African Predicament,History,,Partially,,Partially,Partially,
HIST 371,Civil War Amer Pop Cult Memory,History,,Substantially,,Substantially,,
HIST 392,Sem: Women in Japan,History,,Partially,,Partially,Partially,Partially
HIST 395,"Ocean, Law, and Empire",History,,Partially,,Partially,Substantially,
HIST 396,Fate of Socialism,History,,Partially,,Partially,Partially,
HIST 431,The History of Original Sin,History,,Substantially,,Substantially,Partially,Partially
HIST 462,Sem: Civil Rights,History,,Substantially,,Substantially,Partially,
HIST 473,Britain: Industry and Empire,History,,Substantially,,Substantially,Partially,
